wavelength_nm,irradiance_w_m2_nm
300,0.0010205
310,0.050939
320,0.20527
330,0.47139
340,0.5018
350,0.52798
360,0.59817
370,0.75507
380,0.70077
390,0.79699
400,1.1141
410,1.0485
420,1.1232
430,0.87462
440,1.3499
450,1.5595
460,1.5291
470,1.5077
480,1.6181
490,1.6224
500,1.5451
510,1.5481
520,1.5236
530,1.5446
540,1.4825
550,1.5399
560,1.474
570,1.4816
580,1.502
590,1.3709
600,1.4753
610,1.4686
620,1.4739
630,1.3924
640,1.434
650,1.3594
660,1.3992
670,1.4196
680,1.3969
690,1.1821
700,1.2823
710,1.3175
720,0.9855
730,1.1285
740,1.2195
750,1.2341
760,0.26604
770,1.1608
780,1.1636
790,1.091
800,1.0725
810,1.0559
820,0.86188
830,0.91601
840,1.0157
850,0.89372
860,0.98816
870,0.96755
880,0.93957
890,0.92393
900,0.7426
910,0.62467
920,0.74414
930,0.4321
940,0.47181
950,0.14726
960,0.42066
970,0.63461
980,0.60468
990,0.73227
1000,0.73532
1010,0.71914
1020,0.69896
1030,0.69055
1040,0.6717
1050,0.65463
1060,0.63585
1070,0.60469
1080,0.59722
1090,0.55573
1100,0.48577
1110,0.47899
1120,0.14189
1130,0.070574
1140,0.25599
1150,0.12164
1160,0.28648
1170,0.45873
1180,0.44069
1190,0.46239
1200,0.44825
1210,0.45336
1220,0.45805
1230,0.46003
1240,0.46077
1250,0.45705
1260,0.4311
1270,0.38744
1280,0.42204
1290,0.41285
1300,0.35312
1310,0.30114
1320,0.25872
1330,0.22923
1340,0.16831
1350,0.016025
1360,2.1404e-06
1370,2.92e-07
1380,8.1587e-05
1390,0.00049328
1400,3.2466e-09
1410,0.00046653
1420,0.0082718
1430,0.061601
1440,0.039601
1450,0.027412
1460,0.085421
1470,0.049678
1480,0.060637
1490,0.17478
1500,0.25061
1510,0.27052
1520,0.2645
1530,0.25522
1540,0.26491
1550,0.2699
1560,0.26568
1570,0.24175
1580,0.24464
1590,0.24179
1600,0.2381
1610,0.2176
1620,0.23449
1630,0.23651
1640,0.21511
1650,0.22526
1660,0.22332
1670,0.22168
1680,0.20558
1690,0.20523
1700,0.19975
1710,0.1879
1720,0.18698
1730,0.17407
1740,0.16818
1750,0.16566
1760,0.15998
1770,0.14172
1780,0.1005
1790,0.088904
1800,0.031828
1810,0.0096911
1820,0.00098755
1830,5.2041e-06
1840,6.2703e-08
1850,2.9993e-06
1860,1.1151e-05
1870,2.6662e-10
1880,7.7505e-05
1890,0.00022333
1900,8.6221e-07
1910,2.3045e-05
1920,0.00045069
1930,0.00055242
1940,0.0032821
1950,0.016727
1960,0.021906
1970,0.048847
1980,0.075512
1990,0.085613
2000,0.038156
2010,0.039748
2020,0.044981
2030,0.084856
2040,0.089781
2050,0.067927
2060,0.069193
2070,0.065676
2080,0.086812
2090,0.0891
2100,0.086133
2110,0.089654
2120,0.087588
2130,0.089774
2140,0.090767
2150,0.084639
2160,0.08417
2170,0.081996
2180,0.081808
2190,0.079068
2200,0.071202
2210,0.079315
2220,0.07773
2230,0.075773
2240,0.073118
2250,0.071937
2260,0.066929
2270,0.064867
2280,0.066288
2290,0.06322
2300,0.058824
2310,0.06387
2320,0.052031
2330,0.056824
2340,0.045836
2350,0.041536
2360,0.050237
2370,0.030817
2380,0.042552
2390,0.037109
2400,0.04415
2410,0.033813
2420,0.02659
2430,0.045099
2440,0.043249
2450,0.013611
2460,0.033363
2470,0.016727
2480,0.0080395
2490,0.0035113
2500,0.0070642
