formula,d_opt_nm,Q_scat_solar_weighted,Q_scat_vis,Q_scat_NIR1,Q_scat_NIR2
TiO2,400,3.2427814827521155,3.231659612069665,3.83951147581015,0.8524908873500399
YZr5O11,500,3.155203382449586,2.9607309755892133,3.852908883773291,1.2155602984204603
CaTiO3,500,3.1528602035986375,3.1936784229759807,3.6088721791629355,1.0248238116910229
ZrTiO4,500,3.1470216931448873,3.2823562216593394,3.5031225633626097,0.9600663010016319
ZrO2,500,3.138516078356999,3.372731313475872,3.3890115801075433,0.8979484040580116
YZr4O9,200,3.1348680877511335,2.7867761029940366,4.248657664633732,0.21525349056152948
MgWO4,600,3.085423588937773,3.2887212353680146,3.3264788816190367,1.0546247892169185
ZrSiO4,800,2.985620313304407,3.127183314276222,3.2533671941510804,1.145850721431204
SiO2,800,2.9236224231471284,3.3882437996090133,2.851052285755462,0.9164198979056373
BaSO4,1000,1.2051675961565282,1.8704000918182275,0.6741815982817401,0.1696860576454459
